"ref","1","2","3"
512,0.178,-0.11,0.885
1600,NA,NA,NA
220,0.781,NA,NA
1472,0.414,0.894,-0.604
1279,0.759,0.352,0.132
312,0.824,NA,NA
1449,0.557,0.094,0.179
1032,0.718,0.131,0.926
806,0.581,0.883,0.896
564,-0.254,0.551,0.877
255,0.424,0.752,0.833
50,0.731,0.829,NA
35,0.189,NA,NA
369,0.832,0.863,0.831
352,0.642,0.487,0.863
1287,0.112,0.515,0.846
529,0.53,0.663,0.511
90,0.56,0.721,-0.287
1040,0.451,0.927,0.322
552,-0.601,0.892,NA
791,0.723,0.851,0.637
1433,0.852,0.835,0.852
1009,0.624,0.261,0.884
1608,NA,NA,NA
618,0.58,0.938,0.919
1492,0.645,0.839,0.508
1181,0.942,NA,NA
649,0.739,0.943,NA
729,0.508,0.807,0.094
598,0.498,0.722,0.929
984,0.949,0.69,NA
1520,0.421,0.602,0.234
848,0.055,0.71,0.701
271,0.862,0.479,NA
1415,0.831,NA,NA
116,0.873,0.859,0.655
912,0.435,0.739,NA
1043,0.828,-0.31,NA
1268,0.367,0.303,0.524
1046,0.731,0.707,0.485
1271,-0.718,0.603,-0.407
795,0.572,0.793,0.6
1320,0.264,-0.143,-2.302
1077,0.164,0.868,0.346
290,0.677,NA,NA
1214,0.49,0.919,0.783
381,-0.31,-1.096,-1.169
1145,0.739,-0.054,-1.653
160,0.809,0.835,0.923
909,-0.329,0.324,0.429
975,0.734,NA,NA
1048,0.832,0.941,NA
18,0.927,0.829,NA
435,-2.195,0.454,-0.66
1356,0.555,0.856,0.572
256,0.637,NA,NA
236,0.655,0.594,0.822
308,0.768,0.862,0.634
430,0.755,0.349,0.308
689,0.127,0.713,-0.504
876,0.955,NA,NA
619,0.823,0.383,-0.164
375,-0.465,0.797,0.743
1602,NA,NA,NA
750,0.505,0.913,0.223
274,0.474,0.721,NA
1304,-0.046,0.85,0.705
1353,0.886,NA,NA
1276,0.535,0.851,0.753
267,0.454,0.834,NA
1346,-0.184,0.59,0.743
674,0.238,0.235,0.619
665,0.872,0.793,NA
40,-0.179,0.589,0.019
1524,0.839,0.974,NA
1604,NA,NA,NA
605,0.502,-0.07,-2.054
117,-0.408,0.76,0.639
1326,0.846,0.797,0.699
1013,-0.091,0.57,0.694
359,NA,NA,NA
404,NA,NA,NA
793,0.805,0.344,0.538
1595,NA,NA,NA
382,0.771,0.475,NA
1358,-0.066,0.726,0.531
773,-0.171,0.705,0.927
1536,0.515,0.156,0.31
638,0.897,0.773,0.872
507,0.739,NA,NA
639,NA,NA,NA
1141,0.766,-0.174,0.609
1431,0.433,0.351,0.74
815,0.904,-1.454,-0.144
658,0.798,0.846,0.706
765,0.673,0.944,NA
619,0.823,0.383,-0.164
1316,0.614,NA,NA
1013,-0.091,0.57,0.694
131,-0.135,NA,NA
1047,0.777,NA,NA
34,0.763,-0.016,0.387
892,0.693,0.862,0.697
1079,0.713,0.615,0.582
1061,0.49,0.794,0.124
355,0.949,0.99,NA
1483,0.761,0.557,-2.024
1123,0.498,0.78,NA
1424,0.262,0.4,0.275
1188,-0.598,-1.871,-0.788
1009,0.624,0.261,0.884
1269,0.965,NA,NA
242,0.806,NA,NA
723,0.721,0.866,0.009
1004,0.537,-0.125,-0.319
1286,0.74,0.902,0.954
898,NA,NA,NA
829,0.902,NA,NA
425,0.565,0.214,-2.108
798,NA,NA,NA
729,0.508,0.807,0.094
1444,0.211,0.784,0.359
379,NA,NA,NA
1578,NA,NA,NA
1166,0.908,0.962,NA
946,0.505,-0.177,0.075
1437,0.469,0.256,0.668
